,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
84,1956-04-30,0,-7.860118818738082,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
85,1956-04-30,2,-3.293749422121612,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
86,1956-04-30,1,-2.1449681299066654,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
87,1956-07-31,2,-0.6897174642565986,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
88,1956-07-31,0,-4.756941912628083,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
89,1956-07-31,1,0.5396540932403746,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
90,1956-10-31,2,0.903361001418524,1956,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
91,1956-10-31,0,3.1508885137673417,1956,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
92,1956-10-31,1,-0.5065888497094617,1956,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
93,1957-01-31,0,1.228809081393317,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
94,1957-01-31,1,0.011017177113988197,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
95,1957-01-31,2,0.21647597384133999,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
96,1957-04-30,1,0.9834663397012069,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
97,1957-04-30,2,0.3265484872382838,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
98,1957-04-30,0,1.3596793067292987,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
99,1957-07-31,1,-0.8315608063599649,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
100,1957-07-31,2,-1.0801812197326877,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
101,1957-07-31,0,-5.682467638132726,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
102,1957-10-31,2,-0.4250572201395215,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
103,1957-10-31,0,0.6814555797521695,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
104,1957-10-31,1,-0.2439076814258604,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
105,1958-01-31,0,7.812816763546014,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
106,1958-01-31,1,0.8924718365329155,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
107,1958-01-31,2,2.2518164019784472,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
108,1958-04-30,0,-2.9622004041644416,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
109,1958-04-30,1,0.05089788133785378,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
