,time,precipitation_diff,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
176,1993-01-31,1.2862271374311016,2,1993,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
177,1993-04-30,0.797279731494428,2,1993,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
178,1993-07-31,0.971295789520318,2,1993,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
179,1993-10-31,0.38107838015044343,2,1993,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
180,1994-01-31,0.9473398319196203,2,1994,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
181,1994-04-30,0.9603489239885742,2,1994,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
182,1994-07-31,0.5120280410996393,2,1994,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
183,1994-10-31,0.6037042410735219,2,1994,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
184,1995-01-31,1.7300906181656872,2,1995,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
185,1949-01-31,0.20975388465920294,1,1949,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
186,1949-04-30,0.5075731150413632,1,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
187,1949-07-31,0.3191223870622923,1,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
188,1949-10-31,0.16698873064456227,1,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
189,1950-01-31,0.660520676156517,1,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
190,1950-04-30,0.5230267802748159,1,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
191,1950-07-31,0.3952361852744463,1,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
192,1950-10-31,0.37296028603198256,1,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
193,1951-01-31,0.8348094622524064,1,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
194,1951-04-30,0.5477458824788438,1,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
195,1951-07-31,0.2655126172069398,1,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
196,1951-10-31,0.28706388064108734,1,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
197,1952-01-31,0.7702361920751507,1,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
198,1952-04-30,0.4954046729609718,1,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
199,1952-07-31,0.5003757472167525,1,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
200,1952-10-31,0.1259527662224064,1,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
201,1953-01-31,0.7247182110937386,1,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
202,1953-04-30,0.5869884940916134,1,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
203,1953-07-31,0.5032608788140555,1,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
204,1953-10-31,0.20807837201277382,1,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
205,1954-01-31,0.756924329765473,1,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
206,1954-04-30,0.3941739569640983,1,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
207,1954-07-31,0.3223564194948265,1,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
208,1954-10-31,0.18875469954537405,1,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
209,1955-01-31,0.4112184718831118,1,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
210,1955-04-30,0.49721182676600356,1,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
211,1955-07-31,0.33911702031358654,1,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
212,1955-10-31,0.2142780494340808,1,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
213,1956-01-31,1.1007649177576402,1,1956,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
214,1956-04-30,0.439026071487917,1,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
215,1956-07-31,0.6231615814623801,1,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
