,time,precipitation,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
140,1984-01-31,12.017174124218425,0,1984,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
141,1984-04-30,7.7737489395023545,0,1984,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
142,1984-07-31,3.2178261400290213,0,1984,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
143,1984-10-31,3.8496125445495197,0,1984,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
144,1985-01-31,8.141049295034971,0,1985,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
145,1985-04-30,5.309711869874115,0,1985,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
146,1985-07-31,1.7390737551766218,0,1985,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
147,1985-10-31,4.279669262691346,0,1985,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
148,1986-01-31,7.392712791229551,0,1986,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
149,1986-04-30,7.973698237951814,0,1986,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
150,1986-07-31,2.463998150025514,0,1986,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
151,1986-10-31,2.936937672704712,0,1986,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
152,1987-01-31,9.344811114178713,0,1987,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
153,1987-04-30,6.503224344983966,0,1987,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
154,1987-07-31,1.9723535288470342,0,1987,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
155,1987-10-31,0.5035727875634661,0,1987,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
156,1988-01-31,9.414905649586977,0,1988,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
157,1988-04-30,5.825623289835482,0,1988,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
158,1988-07-31,2.8913138495332125,0,1988,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
159,1988-10-31,2.008043510525968,0,1988,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
160,1989-01-31,10.536503017617,0,1989,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
161,1989-04-30,6.695222390838728,0,1989,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
162,1989-07-31,1.9166162841191026,0,1989,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
163,1989-10-31,2.684905537802353,0,1989,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
164,1990-01-31,9.645293146598599,0,1990,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
165,1990-04-30,6.804035277188581,0,1990,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
166,1990-07-31,2.5961720696673334,0,1990,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
167,1990-10-31,3.762533151714698,0,1990,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
168,1991-01-31,9.396871610489342,0,1991,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
169,1991-04-30,8.0756034579694,0,1991,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
170,1991-07-31,2.04604917761706,0,1991,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
171,1991-10-31,2.149007594257255,0,1991,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
172,1992-01-31,10.51908337102608,0,1992,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
173,1992-04-30,5.567777884335477,0,1992,4,30,18,3,121,2,Spring,-0.4999999999999998,-0.900968867902419
174,1992-07-31,1.1056143819299897,0,1992,7,31,31,4,213,3,Summer,-0.8660254037844388,-0.9009688679024191
175,1992-10-31,2.724536909082718,0,1992,10,31,44,5,305,4,Fall,0.5000000000000001,-0.2225209339563146
176,1993-01-31,8.582164603884426,0,1993,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
177,1993-04-30,6.799677691237776,0,1993,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
178,1993-07-31,3.7026560106636897,0,1993,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
179,1993-10-31,1.2107183625115283,0,1993,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
180,1994-01-31,7.205680633362362,0,1994,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
181,1994-04-30,6.784846216517364,0,1994,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
182,1994-07-31,1.9970605248293094,0,1994,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
183,1994-10-31,3.183988713654769,0,1994,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
184,1995-01-31,13.043193397467594,0,1995,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
185,1949-01-31,1.0816075263284786,2,1949,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
186,1949-04-30,3.2155294773872947,2,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
187,1949-07-31,0.821052644942041,2,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
188,1949-10-31,1.6268879024778626,2,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
189,1950-01-31,4.6970967651692215,2,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
190,1950-04-30,3.8204761178980102,2,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
191,1950-07-31,1.4949943072064535,2,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
192,1950-10-31,2.7247998203274535,2,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
193,1951-01-31,5.020938301254362,2,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
194,1951-04-30,2.6905825374948686,2,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
195,1951-07-31,1.2868421243192538,2,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
196,1951-10-31,2.716976592398208,2,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
197,1952-01-31,3.964616768496874,2,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
198,1952-04-30,1.7664766389789464,2,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
199,1952-07-31,1.4577660417936538,2,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
200,1952-10-31,0.549270604927843,2,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
